event_name,venue,city,event_date
Music Fest,City Arena,Bangalore,1/20/2026
Tech Expo,Convention Center,Hyderabad,1/21/2026
Food Carnival,River Park,Chennai,1/25/2026
Startup Meetup,Innovation Hub,Bangalore,1/18/2026
Book Fair,Exhibition Grounds,Hyderabad,1/24/2026
Art Expo,Art Gallery,Chennai,1/19/2026
Coding Hackathon,Tech Park,Bangalore,1/22/2026
Health Summit,Grand Hall,Hyderabad,1/26/2026
Street Food Fest,Marina Grounds,Chennai,1/23/2026
AI Conference,Global Convention Center,Bangalore,1/27/2026
Music Night,Open Air Theatre,Hyderabad,1/28/2026
Cultural Fest,Town Hall,Chennai,1/29/2026
Business Expo,Trade Center,Bangalore,1/30/2026
Education Fair,Knowledge Center,Hyderabad,1/31/2026
Film Festival,City Square,Chennai,2/1/2026
